tf,confidence,target,mor,likelihood
Adnp,D,Abcc1,1,1
Adnp,D,Abcc6,1,1
Adnp,D,Abhd5,1,1
Adnp,D,Abt1,1,1
Adnp,D,Acbd6,1,1
Adnp,D,Acp7,1,1
Adnp,D,Adamts10,1,1
Adnp,D,Adamts14,1,1
Adnp,D,Adcy7,1,1
Adnp,D,Adgrg1,1,1
Adnp,D,Adgrv1,1,1
Adnp,D,Ahcy,1,1
Adnp,D,Aif1l,1,1
Adnp,D,Akna,1,1
Adnp,D,Akt2,1,1
Adnp,D,Aldh1a7,1,1
Adnp,D,Aldh1a1,1,1
Adnp,D,Aldh1a2,1,1
Adnp,D,Alx4,1,1
Adnp,D,Angpt1,1,1
Adnp,D,Angptl2,1,1
Adnp,D,Ankrd24,1,1
Adnp,D,Ano6,1,1
Adnp,D,Antxr2,1,1
Adnp,D,Ap1m1,1,1
Adnp,D,Arhgef1,1,1
Adnp,D,Arhgef10l,1,1
Adnp,D,Arhgef37,1,1
Adnp,D,Arid3a,1,1
Adnp,D,Arid5b,1,1
Adnp,D,Arl5a,1,1
Adnp,D,Asap1,1,1
Adnp,D,Ascc2,1,1
Adnp,D,Atf7ip,1,1
Adnp,D,Atg14,1,1
Adnp,D,Atp2b1,1,1
Adnp,D,Atp8b3,1,1
Adnp,D,Axl,1,1
Adnp,D,Bhlhe40,1,1
Adnp,D,Cacna1a,1,1
Adnp,D,Cacna1i,1,1
Adnp,D,Ccdc187,1,1
Adnp,D,Ccny,1,1
Adnp,D,Cdcp1,1,1
Adnp,D,Cdh1,1,1
Adnp,D,Cdh23,1,1
Adnp,D,Cdhr3,1,1
Adnp,D,Cdk5rap2,1,1
Adnp,D,Cebpb,1,1
Adnp,D,Cers6,1,1
Adnp,D,Cfap157,1,1
Adnp,D,Chst11,1,1
Adnp,D,Chst3,1,1
Adnp,D,Ciita,1,1
Adnp,D,Ckm,1,1
Adnp,D,Clip1,1,1
Adnp,D,Clip2,1,1
Adnp,D,Cmip,1,1
Adnp,D,Cmklr1,1,1
Adnp,D,Cngb1,1,1
Adnp,D,Cnksr3,1,1
Adnp,D,Cnn1,1,1
Adnp,D,Col26a1,1,1
Adnp,D,Col27a1,1,1
Adnp,D,Colgalt2,1,1
Adnp,D,Coro2a,1,1
Adnp,D,Cpeb4,1,1
Adnp,D,Cpne2,1,1
Adnp,D,Cpped1,1,1
Adnp,D,Cradd,1,1
Adnp,D,Crb2,1,1
Adnp,D,Crispld2,1,1
Adnp,D,Csf3r,1,1
Adnp,D,Ctrc,1,1
Adnp,D,Cux1,1,1
Adnp,D,Cux2,1,1
Adnp,D,Dapk2,1,1
Adnp,D,Dennd1a,1,1
Adnp,D,Depdc5,1,1
Adnp,D,Disp3,1,1
Adnp,D,Dlgap4,1,1
Adnp,D,Dnajb12,1,1
Adnp,D,Dnajc6,1,1
Adnp,D,Dnm1,1,1
Adnp,D,Dnm2,1,1
Adnp,D,Dock6,1,1
Adnp,D,Dpp3,1,1
Adnp,D,Dyrk1a,1,1
Adnp,D,E2f2,1,1
Adnp,D,Ebi3,1,1
Adnp,D,Ece1,1,1
Adnp,D,Eef2k,1,1
Adnp,D,Ehf,1,1
Adnp,D,Eif4e,1,1
Adnp,D,Eif4g3,1,1
Adnp,D,Elfn1,1,1
Adnp,D,Ell2,1,1
Adnp,D,Eng,1,1
Adnp,D,Epb41,1,1
Adnp,D,Epb41l1,1,1
Adnp,D,Epha2,1,1
Adnp,D,Ephb4,1,1
Adnp,D,Ercc1,1,1
Adnp,D,Ercc2,1,1
Adnp,D,Ern2,1,1
Adnp,D,Faf1,1,1
Adnp,D,Fam129b,1,1
Adnp,D,Fam129c,1,1
Adnp,D,Fam222a,1,1
Adnp,D,Fam49b,1,1
Adnp,D,Fbxw11,1,1
Adnp,D,Fcho1,1,1
Adnp,D,Fhad1,1,1
Adnp,D,Fibcd1,1,1
Adnp,D,Flnb,1,1
Adnp,D,Fnip2,1,1
Adnp,D,Fxn,1,1
Adnp,D,Gabbr2,1,1
Adnp,D,Gadd45b,1,1
Adnp,D,Gdf15,1,1
Adnp,D,Gdpd5,1,1
Adnp,D,Gfi1b,1,1
Adnp,D,Gmpr,1,1
Adnp,D,Gna15,1,1
Adnp,D,Gpr160,1,1
Adnp,D,Grifin,1,1
Adnp,D,Grip2,1,1
Adnp,D,Grm4,1,1
Adnp,D,Gse1,1,1
Adnp,D,Gsn,1,1
Adnp,D,Gtdc1,1,1
Adnp,D,Gtf2ird1,1,1
Adnp,D,Hbs1l,1,1
Adnp,D,Hip1,1,1
Adnp,D,Hnf1a,1,1
Adnp,D,Hsd17b12,1,1
Adnp,D,Id1,1,1
Adnp,D,Iffo2,1,1
Adnp,D,Igf2bp2,1,1
Adnp,D,Il12rb1,1,1
Adnp,D,Il21r,1,1
Adnp,D,Inpp5b,1,1
Adnp,D,Inpp5d,1,1
Adnp,D,Insr,1,1
Adnp,D,Iqsec1,1,1
Adnp,D,Irf2bp1,1,1
Adnp,D,Ispd,1,1
Adnp,D,Itpr1,1,1
Adnp,D,Jak3,1,1
Adnp,D,Kazn,1,1
Adnp,D,Kcnk1,1,1
Adnp,D,Kcnk3,1,1
Adnp,D,Kcnn3,1,1
Adnp,D,D5Ertd579e,1,1
Adnp,D,Kif13a,1,1
Adnp,D,Ksr1,1,1
Adnp,D,Lamc3,1,1
Adnp,D,Laptm5,1,1
Adnp,D,Lasp1,1,1
Adnp,D,Ldlrap1,1,1
Adnp,D,Lgr4,1,1
Adnp,D,Lhpp,1,1
Adnp,D,Lingo1,1,1
Adnp,D,Lipc,1,1
Adnp,D,Litaf,1,1
Adnp,D,Lmo2,1,1
Adnp,D,Luc7l2,1,1
Adnp,D,Magi1,1,1
Adnp,D,Map3k7,1,1
Adnp,D,Mapre2,1,1
Adnp,D,Mark4,1,1
Adnp,D,Mast3,1,1
Adnp,D,Matk,1,1
Adnp,D,Mb,1,1
Adnp,D,Mbnl1,1,1
Adnp,D,Mdm4,1,1
Adnp,D,Med18,1,1
Adnp,D,Mical2,1,1
Adnp,D,Mier1,1,1
Adnp,D,Mir145a,1,1
Adnp,D,Mlxipl,1,1
Adnp,D,Mn1,1,1
Adnp,D,Mrps22,1,1
Adnp,D,Mtss1,1,1
Adnp,D,Myb,1,1
Adnp,D,Myl10,1,1
Adnp,D,Ncam2,1,1
Adnp,D,Ncln,1,1
Adnp,D,Ncor2,1,1
Adnp,D,Ndst1,1,1
Adnp,D,Nek6,1,1
Adnp,D,Nfat5,1,1
Adnp,D,Nfatc2,1,1
Adnp,D,Nfia,1,1
Adnp,D,Nfic,1,1
Adnp,D,Nostrin,1,1
Adnp,D,Nprl3,1,1
Adnp,D,Nup210,1,1
Adnp,D,Oas3,1,1
Adnp,D,Pacsin1,1,1
Adnp,D,Padi4,1,1
Adnp,D,Pcbp1,1,1
Adnp,D,Pdgfb,1,1
Adnp,D,Pecam1,1,1
Adnp,D,Phf20,1,1
Adnp,D,Pkhd1l1,1,1
Adnp,D,Pkn1,1,1
Adnp,D,Plcg2,1,1
Adnp,D,Pld1,1,1
Adnp,D,Plin3,1,1
Adnp,D,Plpp7,1,1
Adnp,D,Plxna2,1,1
Adnp,D,Plxnd1,1,1
Adnp,D,Pom121l2,1,1
Adnp,D,Ppp1r16b,1,1
Adnp,D,Prcp,1,1
Adnp,D,Prex1,1,1
Adnp,D,Prf1,1,1
Adnp,D,Prkar2b,1,1
Adnp,D,Prkcb,1,1
Adnp,D,Prr5,1,1
Adnp,D,Prss16,1,1
Adnp,D,Prx,1,1
Adnp,D,Ptp4a2,1,1
Adnp,D,Ptp4a3,1,1
Adnp,D,Ptprj,1,1
Adnp,D,Ptprs,1,1
