"PBAT_BMP4","PBAT_BMP9","PBAT_BMP10","T3L1_BMP4","T3L1_BMP9","T3L1_BMP10"
"Pparg","Pparg","Id3","Drp2","Drp2","Drp2"
"Ltbp2","Hoxc13","Fabp7","Pdgfb","Pdgfb","Hoxc13"
"Ddr1","Ltbp2","Id2","Acvrl1","Acvrl1","Tiam1"
"Prg4","Ddr1","Smoc1","Acvr1b","Acvr1b","Id3"
"Id3","Prg4","Id4","Sox9","Sox9","Relt"
"Myod1","Id3","Dlx2","Hoxc13","Hoxa4","Gata2"
"Hoxa2","Rbfox1","Smoc2","Ltbp2","Wfdc18","Pcolce2"
"Wnt11","Myod1","Smad7","Tiam1","Hoxc13","Ccn2"
"Smpdl3a","Hoxa2","Smad9","Ddr1","Hoxc11","Unc5b"
"Fabp7","Wnt11","Irf5","Slc1a3","Ltbp2","Phlda1"
"Socs2","Fabp7","Greb1","Homer1","Tiam1","Id2"
"Unc5b","Ccn2","Smad6","Id3","Ddr1","Grhl1"
"Slc36a2","Socs2","Atoh8","Relt","Slc1a3","Cygb"
"Igfbp3","Unc5b","Phyhipl","Sertad1","Homer1","Pole2"
"Id2","Slc36a2","Nrn1","Nav1","Id3","Id4"
"Grhl1","Id2","Prrx2","Csf1","Relt","Gadd45g"
"Smoc1","Grhl1","Fmod","Hoxa2","Sertad1","Npr3"
"Id4","Smoc1","Pnpla3","Gata2","Nav1","Tex49"
"Hr","Id4","Dlx1","Gadd45b","Csf1","Dlx2"
"Hes1","Gadd45g","Id1","Pcolce2","Hoxa2","Smad7"
"Boc","Fst","Lor","Fli1","Gata2","Rgs16"
"Dlx2","Hr","Cd24a","Wt1","Gadd45b","Il1rn"
"Smoc2","Hes1","Dlk2","Ahr","Pcolce2","Smad9"
"Dpysl3","Boc","Diras2","Grm1","Gata3","Ccn1"
"Megf10","Dlx2","Grem2","Crybg1","Fli1","Cxcl1"
"Kazald1","Smoc2","Sprr2b","Rspo3","Ahr","Rasl11a"
"Smad7","Clip4","Adra1b","Ccn2","Grm1","Irf5"
"Kif26b","Dpysl3","Adam12","Nuak1","Crybg1","Adamts9"
"Selp","Scd3","Tafa5","Unc5b","Rspo3","Gse1"
