ensembl_gene_id	hsapiens_homolog_associated_gene_name
1	ENSMUSG00000064370	MT-CYB
2	ENSMUSG00000064368	MT-ND6
3	ENSMUSG00000064367	MT-ND5
4	ENSMUSG00000064363	MT-ND4
5	ENSMUSG00000065947	MT-ND4L
6	ENSMUSG00000064360	MT-ND3
7	ENSMUSG00000064358	MT-CO3
8	ENSMUSG00000064357	MT-ATP6
9	ENSMUSG00000064356	MT-ATP8
10	ENSMUSG00000064354	MT-CO2
11	ENSMUSG00000064351	MT-CO1
12	ENSMUSG00000064345	MT-ND2
13	ENSMUSG00000064341	MT-ND1
14	ENSMUSG00000054675	TMEM119
15	ENSMUSG00000032068	PLET1
16	ENSMUSG00000034224	SLC38A8
17	ENSMUSG00000032601	PRKAR2A
18	ENSMUSG00000031981	CAPN9
19	ENSMUSG00000033940	BRK1
20	ENSMUSG00000076580	IGKV4-1
21	ENSMUSG00000031173	OTC
22	ENSMUSG00000026034	CLK1
23	ENSMUSG00000062608	OR5K3
24	ENSMUSG00000061633	NDUFB11
25	ENSMUSG00000031027	STK33
26	ENSMUSG00000031835	MBTPS1
27	ENSMUSG00000032816	IGDCC4
28	ENSMUSG00000033933	VHLL
29	ENSMUSG00000033933	VHL
30	ENSMUSG00000031983	C1orf198
31	ENSMUSG00000022892	APP
32	ENSMUSG00000030960	AC068896.1
33	ENSMUSG00000030960	EEF1AKMT2
34	ENSMUSG00000048163	SELPLG
35	ENSMUSG00000028688	TOE1
36	ENSMUSG00000096695	OR5H8
37	ENSMUSG00000096695	OR5H1
38	ENSMUSG00000096695	OR5H14
39	ENSMUSG00000096695	OR5H15
40	ENSMUSG00000096695	OR5H2
41	ENSMUSG00000096695	OR5H6
42	ENSMUSG00000055254	NTRK2
43	ENSMUSG00000022538	LSG1
44	ENSMUSG00000037300	TTC13
45	ENSMUSG00000028614	NDC1
46	ENSMUSG00000041592	SDK2
47	ENSMUSG00000037280	GALNT6
48	ENSMUSG00000030946	LHPP
49	ENSMUSG00000034210	EFCAB14
50	ENSMUSG00000076581	IGKV4-1
51	ENSMUSG00000048806	IFNB1
52	ENSMUSG00000003949	HLF
53	ENSMUSG00000095896	IFNA16
54	ENSMUSG00000095896	IFNA2
55	ENSMUSG00000095896	IFNA5
56	ENSMUSG00000095896	IFNA8
57	ENSMUSG00000095896	IFNA17
58	ENSMUSG00000095896	IFNA7
59	ENSMUSG00000095896	IFNA10
60	ENSMUSG00000095896	IFNA14
61	ENSMUSG00000095896	IFNA4
62	ENSMUSG00000095896	IFNA13
63	ENSMUSG00000095896	IFNA6
64	ENSMUSG00000095896	IFNA1
65	ENSMUSG00000095896	IFNA21
66	ENSMUSG00000096011	IFNA16
67	ENSMUSG00000096011	IFNA2
68	ENSMUSG00000096011	IFNA5
69	ENSMUSG00000096011	IFNA8
70	ENSMUSG00000096011	IFNA17
71	ENSMUSG00000096011	IFNA7
72	ENSMUSG00000096011	IFNA10
73	ENSMUSG00000096011	IFNA14
74	ENSMUSG00000096011	IFNA4
75	ENSMUSG00000096011	IFNA13
76	ENSMUSG00000096011	IFNA6
77	ENSMUSG00000096011	IFNA1
78	ENSMUSG00000096011	IFNA21
79	ENSMUSG00000027901	DENND2D
80	ENSMUSG00000095270	IFNA16
81	ENSMUSG00000095270	IFNA2
82	ENSMUSG00000095270	IFNA5
83	ENSMUSG00000095270	IFNA8
84	ENSMUSG00000095270	IFNA17
85	ENSMUSG00000095270	IFNA7
86	ENSMUSG00000095270	IFNA10
87	ENSMUSG00000095270	IFNA14
88	ENSMUSG00000095270	IFNA4
89	ENSMUSG00000095270	IFNA13
90	ENSMUSG00000095270	IFNA6
91	ENSMUSG00000095270	IFNA1
92	ENSMUSG00000095270	IFNA21
93	ENSMUSG00000033985	TESK2
94	ENSMUSG00000018379	SRSF1
95	ENSMUSG00000018379	AC015813.2
96	ENSMUSG00000020612	PRKAR1A
97	ENSMUSG00000048100	TAF13
98	ENSMUSG00000034189	HSDL1
99	ENSMUSG00000031202	RAB39B
100	ENSMUSG00000030004	NAT8
101	ENSMUSG00000030004	NAT8B
102	ENSMUSG00000033294	NOC4L
103	ENSMUSG00000033634	NAT8
104	ENSMUSG00000033634	NAT8B
105	ENSMUSG00000027763	MBNL1
106	ENSMUSG00000022841	AP2M1
107	ENSMUSG00000022935	GRIK1
108	ENSMUSG00000031832	TAF1C
109	ENSMUSG00000031555	ADAM9
110	ENSMUSG00000029814	IGF2BP3
111	ENSMUSG00000021102	GLRX5
112	ENSMUSG00000004846	PLOD3
113	ENSMUSG00000060227	CASC4
114	ENSMUSG00000109020	OR5H8
115	ENSMUSG00000109020	OR5H1
116	ENSMUSG00000109020	OR5H14
117	ENSMUSG00000109020	OR5H15
118	ENSMUSG00000109020	OR5H2
119	ENSMUSG00000109020	OR5H6
120	ENSMUSG00000027900	DRAM2
121	ENSMUSG00000090273	PRR22
122	ENSMUSG00000095028	SIRPB1
123	ENSMUSG00000095028	SIRPA
124	ENSMUSG00000095028	AL049634.2
125	ENSMUSG00000095028	SIRPG
126	ENSMUSG00000035283	ADRB1
127	ENSMUSG00000028277	UBE2J1
128	ENSMUSG00000060863	TCL1B
129	ENSMUSG00000029815	MALSU1
130	ENSMUSG00000019790	STXBP5
131	ENSMUSG00000031831	DNAAF1
132	ENSMUSG00000029651	MTUS2
133	ENSMUSG00000092009	MYH15
134	ENSMUSG00000018199	RO60
135	ENSMUSG00000024266	ADAD2
136	ENSMUSG00000059518	ZNHIT1
137	ENSMUSG00000021938	PSPC1
138	ENSMUSG00000075552	CYP3A43
139	ENSMUSG00000075552	CYP3A5
140	ENSMUSG00000075552	CYP3A4
141	ENSMUSG00000075552	CYP3A7-CYP3A51P
142	ENSMUSG00000075552	CYP3A7
143	ENSMUSG00000025878	UIMC1
144	ENSMUSG00000045246	KCNG4
145	ENSMUSG00000038533	CBFA2T2
146	ENSMUSG00000005089	SLC1A2
147	ENSMUSG00000024206	RFX2
148	ENSMUSG00000040774	CEPT1
149	ENSMUSG00000023336	WFDC1
150	ENSMUSG00000020713	GH2
151	ENSMUSG00000020713	CSH2
152	ENSMUSG00000020713	GH1
153	ENSMUSG00000020713	AC127029.3
154	ENSMUSG00000020713	CSHL1
155	ENSMUSG00000020713	CSH1
156	ENSMUSG00000033326	AL451062.3
157	ENSMUSG00000033326	KDM4A
158	ENSMUSG00000031479	VPS36
159	ENSMUSG00000063954	HIST2H2AA4
160	ENSMUSG00000063954	HIST2H2AA3
161	ENSMUSG00000027863	CD2
162	ENSMUSG00000035173	CCDC186
163	ENSMUSG00000001558	KLHL10
164	ENSMUSG00000031982	ARV1
165	ENSMUSG00000027366	SPPL2A
166	ENSMUSG00000004031	BRINP2
167	ENSMUSG00000076583	IGKV4-1
168	ENSMUSG00000047495	DLGAP2
169	ENSMUSG00000031217	EFNB1
170	ENSMUSG00000028678	KIF2C
171	ENSMUSG00000043068	FAM89A
172	ENSMUSG00000020770	UNK
173	ENSMUSG00000052221	PPP1R36
174	ENSMUSG00000030805	STX4
175	ENSMUSG00000073609	D2HGDH
176	ENSMUSG00000008193	SPIB
177	ENSMUSG00000008193	AC020909.1
178	ENSMUSG00000020317	THEG
179	ENSMUSG00000030316	TAMM41
180	ENSMUSG00000045378	PXT1
181	ENSMUSG00000031984	C1orf131
182	ENSMUSG00000035275	RAVER2
183	ENSMUSG00000068299	NAT8
184	ENSMUSG00000068299	NAT8B
185	ENSMUSG00000044248	VN1R5
186	ENSMUSG00000031985	GNPAT
187	ENSMUSG00000035842	DDX11
188	ENSMUSG00000030806	STX1B
189	ENSMUSG00000020897	AURKB
190	ENSMUSG00000029094	AFAP1
191	ENSMUSG00000020111	MICU1
192	ENSMUSG00000073811	IFNA16
193	ENSMUSG00000073811	IFNA2
194	ENSMUSG00000073811	IFNA5
195	ENSMUSG00000073811	IFNA8
196	ENSMUSG00000073811	IFNA17
197	ENSMUSG00000073811	IFNA7
198	ENSMUSG00000073811	IFNA10
199	ENSMUSG00000073811	IFNA14
200	ENSMUSG00000073811	IFNA4
201	ENSMUSG00000073811	IFNA13
202	ENSMUSG00000073811	IFNA6
203	ENSMUSG00000073811	IFNA1
